leaf_id,revision,iterations,candidate_run1_us,candidate_run2_us,main_run1_us,main_run2_us,upstream_run1_us,upstream_run2_us,upstream_run1_outcome,upstream_run2_outcome,main_vs_upstream_status,main_vs_upstream_run1_speedup_pct,main_vs_upstream_run2_speedup_pct,main_vs_upstream_two_run_speedup_pct,candidate_vs_main_status,candidate_vs_main_run1_speedup_pct,candidate_vs_main_run2_speedup_pct,candidate_vs_main_two_run_speedup_pct,performance_valid,performance_invalid_reason
game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,1,8,16358,16384,16250,16408,16201,16133,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.rgba8_ring_payload_generations,1,8,49318,49270,49105,49314,49413,49577,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.rgba8_same_address_queued,1,8,48907,49089,48905,49073,49967,50349,PASS,PASS,hash_mismatch,,,,hash_mismatch,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.rgba8_same_address_wait,1,8,49732,49754,49853,49773,51149,63955,FAIL,FAIL,functional_failure,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
high_vertex_count.arrays,1,100,134,78,167,80,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
high_vertex_count.inline_arrays,1,10,49078,48894,48887,49448,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
high_vertex_count.inline_buffers,1,5,238639,239969,233298,238257,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
high_vertex_count.inline_elements,1,50,3988,4006,3973,3993,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_array_elements.array_element16,1,8,581,575,557,574,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_array_elements.array_element32,1,8,983,999,992,999,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_array_elements.array_element_pgr2,1,8,777,551,1503,560,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
