renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
opengl,game_load,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,49653,50122,0.9446,50501,51550,2.0772
opengl,game_load,game_load.s3tc_sync_factor.rgba8_same_address_queued,48828,48194,-1.2984,50303,50837,1.0616
opengl,game_load,game_load.s3tc_sync_factor.rgba8_same_address_wait,50569,51796,2.4264,54531,58103,6.5504
opengl,high_vertex_count,high_vertex_count.arrays,165,164,-0.6061,618,562,-9.0615
opengl,high_vertex_count,high_vertex_count.inline_arrays,29220,29269,0.1677,30439,30233,-0.6768
opengl,high_vertex_count,high_vertex_count.inline_buffers,181700,176241,-3.0044,183895,176480,-4.0322
opengl,high_vertex_count,high_vertex_count.inline_elements,2404,2400,-0.1664,2680,2780,3.7313
opengl,pfifo_array_elements,pfifo_array_elements.array_element16,1239,1259,1.6142,1386,1411,1.8038
opengl,pfifo_array_elements,pfifo_array_elements.array_element32,1369,1386,1.2418,1504,1903,26.5293
opengl,pfifo_array_elements,pfifo_array_elements.array_element_pgr2,1171,1110,-5.2092,1505,1238,-17.7409
opengl,pipeline_texture_switch,pipeline_texture_switch.clear_texture_normal,8236,7895,-4.1404,9190,8636,-6.0283
opengl,pipeline_texture_switch,pipeline_texture_switch.sampler_only_identity,18451,17151,-7.0457,18798,17568,-6.5432
opengl,pipeline_texture_switch,pipeline_texture_switch.shader_negative_control,15522,14834,-4.4324,16003,15517,-3.0369
opengl,pipeline_texture_switch,pipeline_texture_switch.texture_switch,15615,14837,-4.9824,16035,15243,-4.9392
opengl,primitive_type,primitive_type.line_loop.fixed_function,791,760,-3.9191,1639,1523,-7.0775
opengl,primitive_type,primitive_type.line_loop.vertex_shader,724,761,5.1105,1128,1189,5.4078
opengl,primitive_type,primitive_type.line_strip.fixed_function,742,719,-3.0997,1041,1084,4.1306
opengl,primitive_type,primitive_type.line_strip.vertex_shader,754,708,-6.1008,1110,963,-13.2432
opengl,primitive_type,primitive_type.lines.fixed_function,842,783,-7.0071,1441,1087,-24.5663
opengl,primitive_type,primitive_type.lines.vertex_shader,875,799,-8.6857,1452,1412,-2.7548
opengl,primitive_type,primitive_type.points.fixed_function,708,696,-1.6949,940,933,-0.7447
opengl,primitive_type,primitive_type.points.vertex_shader,715,703,-1.6783,1073,1095,2.0503
opengl,primitive_type,primitive_type.polygon.fixed_function,746,724,-2.9491,1193,1155,-3.1852
opengl,primitive_type,primitive_type.polygon.vertex_shader,714,729,2.1008,1072,1148,7.0896
opengl,primitive_type,primitive_type.quad_strip.fixed_function,815,805,-1.227,1286,1295,0.6998
opengl,primitive_type,primitive_type.quad_strip.vertex_shader,808,768,-4.9505,1173,1328,13.214
opengl,primitive_type,primitive_type.quads.fixed_function,1603,1565,-2.3706,2292,2103,-8.2461
opengl,primitive_type,primitive_type.quads.vertex_shader,1595,1591,-0.2508,1892,1950,3.0655
opengl,primitive_type,primitive_type.triangle_fan.fixed_function,708,748,5.6497,1094,1156,5.6673
opengl,primitive_type,primitive_type.triangle_fan.vertex_shader,751,709,-5.5925,1127,1020,-9.4942
opengl,primitive_type,primitive_type.triangle_strip.fixed_function,726,689,-5.0964,1032,1177,14.0504
