group,renderer,role,mode,label,source,exe_sha256,status,runner_exit_code,suite_status,selected_for_comparison,reason
game_load,vulkan,baseline,isolated-target,target-11,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-11,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-12,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-12,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-13,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-13,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-14,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-14,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-15,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-15,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-16,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-16,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-17,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-17,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-18,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-18,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-19,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-19,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-20,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-20,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-21,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-21,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
